SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532309,GEPIL       ,B ,Q,866.95,887.95,856.00,881.40,885.80,857.25,421,10289,8904001.00,
532310,SHREE RAMA  ,B ,Q,10.50,11.18,10.50,10.63,10.63,10.83,34,65800,700624.00,
532313,MAHINDRALIFE,A ,Q,416.00,425.00,392.30,415.40,425.00,417.50,321,17361,7003551.00,
532318,GEMINI COMMU,T ,Q,1.05,1.15,1.05,1.05,1.05,1.10,5,3880,4274.00,
532321,CADILA HEALT,A ,Q,377.00,389.50,376.25,387.65,387.65,369.95,3316,150442,58130478.00,
532323,SHIVA CEMENT,X ,Q,25.00,26.05,24.40,25.75,25.75,25.25,700,3271213,83049425.00,
532324,CINEVISTA   ,B ,Q,8.43,8.79,8.01,8.77,8.77,8.43,25,45802,372291.00,
532326,INTENS TECH ,B ,Q,71.90,77.50,70.25,74.30,73.15,73.85,375,622515,43927175.00,
532329,DANLAW TECH.,X ,Q,74.90,74.90,69.50,70.75,70.45,72.30,71,14826,1052429.00,
532330,BIOPAC INDIA,XT,Q,21.00,22.00,20.40,20.40,20.40,21.45,78,38685,805405.00,
532331,AJANTA PHARM,A ,Q,1352.75,1411.85,1340.00,1400.75,1406.05,1359.10,675,9731,13328466.00,
532336,BARON INFO. ,XT,Q,0.29,0.29,0.29,0.29,0.29,0.30,1,100,29.00,
532339,COMPUCOM SOF,B ,Q,11.25,11.36,10.95,10.96,10.95,11.17,76,38912,429342.00,
532341,IZMO        ,B ,Q,87.30,97.40,85.50,94.10,94.50,88.75,1115,147563,13779933.00,
532342,COMMEX TECH ,XT,Q,0.52,0.52,0.52,0.52,0.52,0.52,1,10,5.00,
532343,TVS MOTOR L ,A ,Q,603.50,627.40,602.50,619.75,619.75,609.40,956,34887,21468994.00,
532345,GATI LTD.   ,A ,Q,101.95,101.95,93.95,95.30,95.30,97.25,1086,303353,28875477.00,
532348,SUBEX LTX   ,B ,Q,7.70,7.90,7.30,7.49,7.49,7.71,863,2845286,21822434.00,
532349,TRANSPORT CO,B ,Q,260.05,266.00,259.75,263.85,264.00,259.65,204,5068,1335400.00,
532350,PADMALAYA TE,XT,Q,3.20,3.22,3.05,3.07,3.05,3.20,41,12454,39066.00,
532351,AKSH OPTIFIB,B ,Q,30.65,31.05,29.55,30.40,30.40,30.65,924,610241,18331055.00,
532355,PICTURHOUSE ,SS,Q,3.06,3.50,3.06,3.44,3.45,3.65,21,45152,155569.00,
532356,TRIVENI ENGG,B ,Q,42.00,42.95,39.95,40.55,40.55,42.45,773,369807,15103210.00,
532357,MUKTA ARTS  ,B ,Q,61.20,64.40,61.20,63.30,63.00,62.30,201,68111,4335408.00,
532362,NAGPUR POWER,X ,Q,36.00,36.00,36.00,36.00,36.00,36.45,1,200,7200.00,
532365,DYNACONS SYS,B ,Q,37.00,37.00,35.50,35.55,35.55,36.80,13,2946,104897.00,
532366,PNB GILTS   ,B ,Q,34.85,35.55,34.60,34.95,34.90,34.95,340,140690,4932203.00,
532368,YBRANTDIGI  ,T ,Q,4.40,4.40,4.19,4.21,4.21,4.41,215,368857,1548884.00,
532369,RAMCO INDS. ,B ,Q,232.20,233.50,227.50,230.25,230.25,229.85,290,26722,6157892.00,
532370,RAMCO  SYSTM,B ,Q,368.60,376.25,361.00,367.25,367.25,364.65,138,38410,13952642.00,
532371,TATA TELESER,B ,Q,5.59,5.85,5.45,5.60,5.60,5.71,428,442966,2463153.00,
532372,VIRINCHI    ,X ,Q,102.00,104.50,100.00,103.40,103.40,102.40,318,99718,10284064.00,
532373,WEPSOLN     ,X ,Q,40.00,41.10,39.00,41.10,41.10,41.00,68,30543,1246310.00,
532374,STER TECH   ,A ,Q,313.95,321.00,308.65,318.50,318.50,313.95,4548,1411565,440208247.00,
532375,TIPSINDUSTR ,B ,Q,94.00,97.00,93.00,93.55,93.55,96.85,9,18059,1682037.00,
532376,MRO-TEK     ,T ,Q,20.50,21.50,20.50,20.55,20.55,21.50,6,1782,37139.00,
532378,UNIVERSAL A ,XT,Q,0.84,0.84,0.84,0.84,0.84,0.86,2,3000,2520.00,
532379,FIRSTOBJ    ,XT,Q,14.55,15.45,14.55,15.45,15.45,14.75,11,18585,276338.00,
532380,BABA ARTS   ,SS,Q,2.10,2.10,2.10,2.10,2.10,2.10,5,2040,4284.00,
532382,BALAJI TELE.,B ,Q,127.50,132.00,127.50,131.15,131.15,128.75,144,23714,3078828.00,
532384,TYCHE INDS  ,X ,Q,99.00,104.90,97.40,99.40,99.00,99.70,29,4189,414936.00,
532386,CALIFORN.SOF,B ,Q,42.00,43.20,41.60,41.65,41.60,43.75,31,8945,372865.00,
532387,PRITISHN COM,B ,Q,16.40,16.45,15.85,15.85,15.85,16.00,4,3900,63540.00,
532388,INDIAN OVER.,A ,Q,18.00,18.00,17.25,17.45,17.45,17.70,422,157182,2745721.00,
532390,TAJ GVK HOTL,B ,Q,159.30,170.45,154.45,165.65,164.00,155.15,202,8118,1331057.00,
532391,OPTO CIRCUIT,B ,Q,7.75,8.39,7.75,7.97,7.97,8.06,211,257614,2050318.00,
532392,CREATIVE EYE,B ,Q,3.71,3.85,3.71,3.85,3.85,3.67,2,550,2047.00,
532395,AXISCADES   ,B ,Q,140.20,144.00,135.95,138.05,138.05,139.00,308,30326,4216210.00,
532400,KPIT        ,A ,Q,219.00,222.45,218.65,219.55,219.55,220.95,518,49858,10960567.00,
532401,VIJAYA BANK ,A ,Q,51.45,52.00,50.50,50.85,50.85,51.85,1248,329821,16834514.00,
532406,AVANTEL LTD ,X ,Q,535.65,535.65,502.00,510.00,510.00,519.25,100,3490,1797263.00,
532407,MOSCHIP SEMI,X ,Q,33.00,34.40,32.00,32.65,33.30,32.15,157,98264,3215101.00,
532408,MEGASOFT LTD,B ,Q,12.03,12.15,11.70,11.82,11.70,12.16,84,26808,318821.00,
532410,TRANSCORP IN,X ,Q,31.00,32.80,29.75,30.05,29.90,31.30,51,6798,210920.00,
532411,VISESH INFO.,T ,Q,0.23,0.23,0.23,0.23,0.23,0.23,4,4520,1039.00,
532413,CEREBRA INTE,B ,Q,50.45,53.00,50.45,52.55,52.55,50.15,391,158728,8353100.00,
532414,IKF TECHNO  ,XT,Q,0.55,0.57,0.55,0.55,0.55,0.56,34,62861,34613.00,
532416,MID-DAY MULT,B ,Q,14.30,14.90,14.00,14.00,14.00,14.30,31,19263,271633.00,
532418,ANDHRA BANK ,A ,Q,39.25,41.40,38.60,41.25,41.25,39.95,1566,730756,29482593.00,
532419,SMARTLINK   ,B ,Q,84.85,85.00,84.30,84.65,85.00,83.45,23,3055,258939.00,
